StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery,globalPA,globalNA
4184242,4,3,4,4,4,4,3,2,2,4,4,4,2,3,3,4,3,4,5,2,4,2
4113964,4,4,3,4,3,3,4,4,3,4,3,3,2,2,2,2,3,2,4,1,2,4
3998329,3,4,4,3,3,3,2,4,3,3,2,2,1,3,2,3,1,1,3,4,4,1
4057984,4,4,4,4,4,2,3,4,4,4,3,4,2,5,4,4,4,2,4,4,4,3
4089907,3,4,3,4,4,4,4,4,3,4,4,4,1,2,1,1,4,4,4,1,4,2
3784336,4,4,5,4,5,4,5,3,4,4,3,2,3,2,1,1,1,1,2,3,4,2
3713473,3,4,3,3,4,3,3,4,4,2,1,2,2,2,1,1,2,1,1,3,4,2
3914962,3,4,3,4,4,3,3,4,3,3,2,1,1,1,1,1,1,1,2,1,3,2
4056277,4,3,3,3,3,2,4,4,3,5,2,4,2,1,1,1,2,4,3,3,2,4
4048108,1,4,1,4,4,2,5,1,2,1,2,2,1,2,1,1,4,2,4,3,2,4
3695116,4,3,3,3,4,2,3,4,4,2,1,1,1,1,1,3,1,1,2,2,2,3
4025374,2,2,2,3,3,4,2,2,2,2,4,2,2,3,2,4,2,2,4,4,2,4
3040837,4,2,2,4,3,4,2,3,3,4,1,2,3,2,2,2,2,2,3,2,4,2
4151746,3,4,3,3,3,3,3,4,3,3,3,1,3,2,1,1,1,1,1,1,3,3
4028461,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,4
4077802,2,3,3,2,4,4,2,4,2,3,3,1,1,1,1,1,1,1,1,3,4,2
4102240,4,1,4,3,3,4,4,4,5,3,1,1,2,2,1,1,1,2,1,1,4,1
4142239,3,2,3,5,5,1,1,3,1,4,1,2,1,1,1,1,1,1,1,1,5,1
4056052,3,3,4,3,3,3,2,3,2,3,3,3,1,3,2,3,2,1,4,2,4,3
4034518,3,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,1,2,2,4
3841375,4,4,3,5,5,3,3,4,3,4,1,1,1,1,1,1,1,1,3,1,4,2
2511475,2,2,2,4,3,3,4,2,3,2,1,2,1,2,1,1,1,1,3,1,3,2
3990856,2,4,4,4,3,2,1,3,1,2,1,2,1,1,2,1,1,2,2,1,5,3
3753931,2,3,3,3,3,3,2,3,3,2,2,2,1,1,1,2,3,3,2,2,4,2
4130830,3,3,3,4,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,4,2
3911062,4,4,2,4,5,1,2,4,3,3,1,1,3,1,1,1,1,1,1,1,4,1
4079824,2,3,2,4,4,2,4,4,3,4,1,1,1,1,1,2,1,1,1,1,5,2
4142506,4,4,2,3,3,4,2,5,3,3,2,2,1,1,1,1,1,1,2,2,3,2
4152865,4,3,2,4,3,3,3,3,4,4,2,1,1,1,1,1,2,1,3,1,4,3
3757897,2,5,2,5,4,4,4,5,3,3,1,1,2,2,1,1,1,1,2,3,4,3
2704030,4,5,4,5,5,5,2,5,5,5,1,1,1,2,1,1,1,2,1,1,3,3
